((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 11), (13.841725138091329, 0.8920436731356131, 5.10645442810981))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 12), (7.221420085205502, 0.9407111590175938, 6.403640854265982))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 13), (7.055015185614594, 0.9152503439890468, 4.777935503052449))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 14), (6.380993889568987, 0.9291743263972504, 5.361593951500782))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 15), (7.5713667896745, 0.9327789934842602, 4.745286888786209))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 16), (6.154595323079528, 0.9282409662350349, 3.748501817910981))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 17), (7.458453018556087, 0.9109886632797906, 3.9064574728522836))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 18), (5.866602910751476, 0.9403217169183948, 7.194286878518581))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 19), (4.78545271625159, 0.9444678142095104, 3.946679497729319))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 20), (4.470489289001791, 0.952552285585651, 4.842542020082179))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 21), (3.342652503838508, 0.981744773402415, 2.6057679251026347))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 22), (2.448990213623446, 0.9937565101963081, 1.23970297297216))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 23, 23), (0.0, 1.0, 4.9311665861750956e-14))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 24, 1), (3.8766874786506706, 0.9270971745124892, 8.162000295552874))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 24, 2), (3.9936696845088817, 0.895731030843689, 6.197732637765172))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 24, 3), (5.640740842063739, 0.8869458736035347, 2.1673029490766846))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 24, 4), (5.325802607209473, 0.8683603130798491, 9.758271681883455))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 24, 5), (5.176718339189596, 0.8818917945716208, 6.2261709888465395))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 24, 6), (6.395928793186804, 0.8189568431020366, 3.0945566352787806))
